@relation whatever

@attribute light numeric
@attribute sound numeric
@attribute movement numeric
@attribute locked {0,1}
@attribute charging {0,1}
@attribute state {0,1}


@data
0 , 1731 , 0.435982 , 1 , 0 , 0 
0 , 8259 , 1.09357 , 1 , 0 , 0 
126 , 833 , 2.25209 , 0 , 0 , 0 
126 , 1045 , 1.43761 , 0 , 0 , 0 
132 , 2203 , 0.967819 , 0 , 0 , 0 
91 , 1323 , 1.23013 , 1 , 0 , 0 
111 , 1220 , 1.42668 , 1 , 0 , 0 
118 , 1151 , 7.32947 , 0 , 0 , 0 
104 , 8219 , 0.490341 , 0 , 0 , 0 
78 , 7907 , 0.380692 , 1 , 0 , 0 
171 , 1441 , 1.3443 , 0 , 0 , 0 
142 , 21112 , 17.8171 , 0 , 0 , 0 
105 , 2655 , 0.876213 , 1 , 0 , 0 
148 , 884 , 1.78143 , 0 , 0 , 0 
0 , 1958 , 0.714317 , 1 , 0 , 0 
0 , 7581 , 2.25656 , 1 , 0 , 0 
0 , 1509 , 1.84097 , 1 , 0 , 0 
156 , 1660 , 1.16869 , 0 , 0 , 0 
144 , 3404 , 3.51185 , 0 , 0 , 0 
99 , 2441 , 2.68034 , 0 , 0 , 0 
123 , 3674 , 12.7835 , 0 , 0 , 0 
160 , 7484 , 3.71334 , 0 , 0 , 0 
106 , 1761 , 1.07597 , 1 , 0 , 0 
0 , 1449 , 1.31947 , 1 , 0 , 0 
101 , 2553 , 0.99453 , 1 , 0 , 0 
87 , 659 , 0.371307 , 0 , 0 , 0 
5 , 1467 , 0.42691 , 0 , 0 , 0 
2 , 8164 , 1.00072 , 1 , 0 , 0 
0 , 4981 , 5.78757 , 1 , 0 , 0 
0 , 7001 , 1.29681 , 1 , 0 , 0 
2 , 2208 , 0.892731 , 1 , 0 , 0 
112 , 947 , 0.484848 , 1 , 1 , 0 
112 , 2573 , 0.224052 , 1 , 1 , 0 
110 , 7459 , 0.694809 , 1 , 1 , 0 
110 , 3087 , 0.509872 , 0 , 1 , 0 
110 , 1121 , 0.833115 , 0 , 1 , 0 
159 , 2276 , 0.230293 , 0 , 1 , 0 
109 , 1809 , 0.189392 , 0 , 1 , 0 
85 , 2621 , 1.43064 , 0 , 1 , 0 
30 , 4872 , 0.676155 , 0 , 1 , 0 
116 , 6719 , 0.67453 , 0 , 1 , 0 
115 , 10119 , 0.627258 , 1 , 1 , 0 
115 , 1043 , 1.10371 , 1 , 1 , 0 
115 , 1198 , 0.767914 , 1 , 1 , 0 
125 , 3519 , 1.20232 , 1 , 1 , 0 
122 , 2589 , 0.901192 , 1 , 1 , 0 
122 , 1154 , 0.591538 , 1 , 1 , 0 
118 , 1358 , 0.918167 , 1 , 1 , 0 
120 , 3846 , 0.563385 , 1 , 1 , 0 
118 , 2026 , 0.619095 , 1 , 1 , 0 
53 , 2093 , 0.885658 , 0 , 1 , 0 
